trip_id,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,pickup_hour,pickup_day,passenger_count,weather,trip_duration
1,37.5473649153399,126.96969193293913,37.427395433856276,126.9583389205269,21,4,1,Clear,35.12576725036432
2,37.49335106956455,126.92262694424967,37.4123344664481,126.850252959706,13,5,2,Clear,35.11509602323438
3,37.407493677724894,126.90836483980637,37.44479675115615,126.97959261983215,1,5,2,Rain,41.06318836751764
4,37.5048984135017,127.01634250188086,37.498351951396685,127.09368535015818,9,1,1,Clear,42.90052107104518
5,37.41103013411639,126.98402268870223,37.493883171918135,127.02944495875425,3,0,2,Clear,35.76765972591406
6,37.59328997218189,126.9541525833635,37.50240619917681,126.89601454238506,3,0,4,Clear,43.35385709855746
7,37.47559129826959,126.83842542870744,37.4228670497498,127.05915809530524,22,6,1,Snow,82.2519642040216
8,37.50073426517847,126.9756921754823,37.5585784803953,127.06871750710238,6,4,3,Clear,40.503547631021114
9,37.42590939666466,127.00782558860328,37.4604247887292,126.85304188383549,19,4,2,Clear,71.7815869022284
10,37.59914457635692,127.04443982358697,37.58264599767116,126.81594015823744,4,0,2,Clear,70.52454529835438
11,37.498440365675485,126.8898215225054,37.56799267351987,126.97174278243496,11,5,2,Clear,32.92568995429981
12,37.45965799360816,126.87929335039699,37.41269246497092,126.94276486587718,11,2,2,Snow,23.529463332269334
13,37.43860973348365,127.02463176631804,37.41071278353329,127.01440586207984,5,6,4,Clear,15.383372411412314
14,37.529986149497795,126.94023610541844,37.52579570677889,126.88791760653287,17,5,4,Snow,19.596427196537114
15,37.48725984829796,126.9217566089474,37.415455215442385,126.91406358027776,1,6,4,Rain,33.288185311730444
16,37.46346599909271,126.8481862542481,37.51436759187218,126.87915568011154,18,5,2,Clear,32.40641897834466
17,37.4019285191209,126.93024630643299,37.41583272675695,126.88764124488705,15,1,4,Rain,22.576392057919087
18,37.40727940482832,127.01783815388056,37.49586968384655,126.80278620627399,22,0,3,Rain,67.81632647620522
19,37.53872262609156,126.93516577484813,37.48382132675043,126.9532266549359,1,4,4,Rain,27.894960351951816
20,37.49610809326011,127.06181911390007,37.51818680287705,126.94194637652215,16,4,2,,48.48097790418439
21,37.56977808289195,126.80126273962722,37.47123899841931,126.90676242268836,19,2,1,Rain,60.82289165174427
22,37.55070569388266,126.85398993877392,37.42800943812603,126.96205710017604,6,3,2,Clear,56.689465381099595
