visitor_id,page_views,time_on_site,bounce,device,traffic_source,returning_visitor,converted
1,49,404.8607945977494,1,Desktop,Social,0,1
2,11,237.7283651163121,1,Tablet,Direct,1,0
3,27,132.01991242389732,1,Tablet,Organic,1,0
4,13,31.49082381888014,0,Tablet,Organic,0,0
5,46,351.85050388303125,1,Mobile,Paid,1,1
6,43,425.1911030677475,0,Tablet,Direct,1,1
7,40,231.05277394971017,0,Mobile,Paid,1,0
8,36,122.49365517089004,1,Mobile,Direct,1,1
9,15,105.71439861478022,1,Desktop,Paid,0,0
10,22,166.6903317632541,0,Tablet,Direct,1,0
11,25,481.9579295661591,1,Desktop,Paid,0,1
12,19,99.26733468485507,1,Mobile,Paid,0,0
13,29,266.3597094524047,1,Tablet,Paid,0,1
14,23,394.5086564347359,1,Tablet,Direct,0,0
15,19,509.9136710263876,1,Tablet,Paid,0,0
16,3,312.0747365317497,0,Tablet,Direct,1,1
17,19,411.3568958739148,0,Mobile,Paid,1,0
18,13,311.2358200464433,1,Tablet,Paid,1,1
19,33,456.86932121925605,1,Tablet,Paid,0,0
20,24,473.4695720644046,1,Tablet,Paid,0,0
21,38,471.03935989966016,0,Desktop,Organic,0,1
22,35,444.15222250795966,1,Tablet,Paid,1,0
23,33,487.2705511779312,1,Desktop,Social,1,0
24,45,482.46508470275865,1,Desktop,Social,0,1
25,49,519.5549303546363,0,Tablet,Organic,0,1
26,2,285.5612349376455,1,Mobile,Organic,0,1
27,19,533.8019268274637,1,Mobile,Organic,0,0
28,39,54.061504445419224,0,Tablet,Direct,0,0
29,47,220.792457187409,0,Mobile,Social,1,1
30,33,555.0886989038455,1,Tablet,Organic,0,0
31,27,,0,Tablet,Organic,0,1
32,2,519.7181286500561,0,Tablet,Paid,0,0
33,33,336.7083025025926,1,Mobile,Social,1,0
34,49,162.04454900819837,1,Mobile,Social,1,0
35,7,67.6346292069889,0,Tablet,Organic,0,1
36,10,421.26911355973374,0,Tablet,Organic,1,0
37,28,142.08748687287726,0,Mobile,Social,1,0
38,25,350.30565920120506,0,Tablet,Paid,0,0
39,31,241.73904779980998,0,Desktop,Paid,0,0
40,44,405.37304762599484,0,Desktop,Social,0,0
41,13,376.9134873304647,1,Mobile,Organic,1,0
42,31,368.67154327288307,0,Desktop,Organic,1,0
43,29,314.27698138443776,0,Mobile,Social,1,1
44,40,416.4743451594783,1,Desktop,Social,1,0
45,9,431.21399218257653,1,Mobile,Organic,1,0
46,31,134.2821717241103,0,Desktop,Social,1,0
47,41,361.6739549698038,1,Mobile,Social,0,0
48,29,17.79113141231285,1,Desktop,Social,1,0
49,4,,0,Tablet,Social,0,0
50,17,478.49655506356146,0,Mobile,Organic,1,0
51,17,45.64327690532635,0,Tablet,Organic,1,0
52,19,200.42065358288562,1,Mobile,Direct,0,0
53,48,31.458681217390446,1,Mobile,Organic,1,0
54,3,343.72356466627866,1,Mobile,Direct,0,0
55,33,556.449257377319,0,Tablet,Paid,1,0
56,37,201.28881783340725,1,Mobile,Organic,0,0
57,42,,0,Mobile,Social,0,0
58,18,135.76307069025367,0,Mobile,Paid,0,0
59,21,444.4822309927259,0,Desktop,Paid,1,0
60,24,308.6195623058691,1,Tablet,Paid,1,1
61,16,173.12223982850983,1,Mobile,Direct,1,0
62,31,35.18582301559589,0,Tablet,Social,0,0
63,42,513.0716589163185,0,Tablet,Social,1,0
64,3,418.03070339971094,0,Desktop,Paid,0,0
65,17,586.3552769963678,1,Tablet,Paid,0,0
66,33,341.35015108478996,0,Desktop,Paid,1,0
67,7,,1,Tablet,Paid,0,0
68,40,420.88914051345597,0,Desktop,Social,1,0
69,22,264.0121189995322,1,Desktop,Direct,0,1
70,7,147.98202540406737,0,Tablet,Organic,1,0
71,33,,0,Tablet,Paid,1,0
72,5,13.037274851619431,1,Mobile,Paid,0,0
73,13,500.26532219750135,0,Desktop,Paid,1,0
74,30,377.73687117622507,1,Tablet,Paid,1,0
75,10,120.19080658116742,0,Mobile,Direct,0,1
76,14,414.64010732520546,0,Tablet,Direct,1,1
77,7,,1,Desktop,Social,0,0
78,31,43.31539351929746,1,Mobile,Organic,0,0
79,4,484.47148320279416,0,Tablet,Paid,0,0
