route_id,origin_lat,origin_lng,dest_lat,dest_lng,departure_hour,departure_day,vehicle_type,weather,traffic_level,road_type,has_toll,arrival_time
1,37.55148052396398,127.05687797126157,37.594250792076345,126.93570626345455,23,3,Car,Cloudy,5.0,Mixed,0.0,39.57656673190407
2,37.63812618010707,126.84826384502352,37.508126623687765,127.14205408174534,10,4,Truck,Rain,3.0,Highway,1.0,52.400617778578955
3,37.41798162330349,126.8425131765305,37.47551385376437,127.08342063875237,11,2,Truck,Clear,3.0,Highway,1.0,24.11322261334775
4,37.587275845239795,127.1181529791783,37.533143371003455,126.82452633565946,10,4,Car,Clear,5.0,Highway,0.0,44.22219364939851
5,37.469821468549185,126.85531150769505,37.607290430959345,126.86076833771918,9,2,Truck,Clear,5.0,City,1.0,40.30842816694801
6,37.42256920766315,126.99282976765173,37.426719358079716,127.00495350377275,8,1,Car,Clear,5.0,Highway,0.0,5.0
7,37.630572305042094,127.0113396033283,37.642869077585466,127.1369485064785,17,1,Truck,Cloudy,4.0,City,1.0,28.70945830624481
8,37.41353119605825,126.91189772417108,37.52832289241754,126.9434161882661,17,5,Truck,Snow,1.0,Mixed,1.0,10.29628549645804
9,37.42643445221151,126.96870787462339,37.515999862557244,127.09115680191472,10,1,Car,Clear,3.0,City,0.0,29.246926554092347
10,37.45666528695697,126.90628415213465,37.64243840300348,126.9142681261099,16,3,Car,Clear,3.0,City,1.0,38.197467573749556
11,37.632669865855306,127.08945133488992,37.488270243202905,126.86813209283717,11,6,Car,Snow,5.0,Highway,1.0,50.30818047618882
12,37.475875717994015,126.85344112508712,37.50213050189418,126.91164983119118,21,2,Car,Clear,5.0,Highway,1.0,5.375259535968482
13,37.40733394891374,126.90604011708155,37.433698806450785,127.01715444172916,13,4,Car,Clear,5.0,Mixed,0.0,35.86361263677187
14,37.44690936941621,126.97731140555565,37.62165256390427,127.00694319922276,21,5,Truck,Snow,1.0,City,1.0,29.88476054193693
15,37.51125623982523,126.90500772692151,37.6450635363181,126.95642269215024,3,0,Car,Rain,2.0,Highway,1.0,17.44751096723518
16,37.62064375350913,127.10172580005953,37.439400917193865,127.04091894732314,16,1,Truck,Clear,4.0,Highway,1.0,36.05432311752229
