customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,internet_service,online_security,tech_support,contract,payment_method,monthly_charges,total_charges,churn
1,Male,0,Yes,No,,Yes,Fiber,No internet,Yes,Two year,Mailed check,40.2306371385274,1180.5614742829002,0
2,Female,0,Yes,No,51.0,Yes,DSL,No,No,Two year,Bank transfer,94.92666429079662,7525.11768043539,0
3,Male,0,Yes,No,32.0,Yes,No,Yes,No,One year,Electronic check,56.92543148338378,4612.707128955208,0
4,Female,0,Yes,Yes,,Yes,No,No internet,Yes,Two year,Credit card,34.32284400477515,5905.444726213931,0
5,Female,0,Yes,No,35.0,Yes,No,No internet,Yes,Two year,Mailed check,46.43637457204185,6391.569196369904,0
6,Male,0,No,Yes,12.0,Yes,No,No internet,Yes,Two year,Credit card,84.7327554973278,4588.41648430194,0
7,Female,0,No,No,36.0,Yes,Fiber,Yes,No,Month-to-month,Bank transfer,75.8916713378957,2781.4868799448245,0
8,Female,0,Yes,Yes,58.0,Yes,No,Yes,No internet,One year,Mailed check,73.84246439314035,4372.087055418721,0
9,Male,0,Yes,Yes,70.0,Yes,No,No,No,Two year,Mailed check,56.584692777841546,7828.75700701724,0
10,Female,0,Yes,Yes,40.0,Yes,Fiber,No internet,Yes,One year,Credit card,85.81561423381847,6444.479158271331,0
11,Female,0,No,No,45.0,Yes,Fiber,,Yes,One year,Bank transfer,87.89977866841875,7996.485571592383,0
12,Female,0,Yes,No,42.0,Yes,Fiber,Yes,Yes,Month-to-month,Credit card,85.23115410331003,1204.05200465144,0
13,Male,1,Yes,Yes,32.0,Yes,Fiber,No,Yes,One year,Bank transfer,91.8378777594098,884.131125011314,0
14,Male,0,No,No,61.0,No,No,Yes,Yes,Two year,Mailed check,44.87077621652429,5683.989347199072,0
15,Male,0,Yes,Yes,40.0,Yes,Fiber,Yes,No internet,One year,Mailed check,102.00172780683334,5347.9911920606555,1
16,Female,0,Yes,Yes,67.0,Yes,No,No,No internet,Month-to-month,Credit card,50.58895806990223,2611.259427764999,0
17,Male,0,Yes,Yes,54.0,No,No,No internet,No,Month-to-month,Bank transfer,44.935593124643184,3538.5504852463614,0
18,Female,0,Yes,No,24.0,Yes,DSL,No internet,No internet,Two year,Bank transfer,79.29272921193586,1537.5271120722728,0
19,Male,1,No,No,71.0,Yes,No,No internet,Yes,One year,Electronic check,,3064.9432808069296,0
20,Female,0,Yes,No,68.0,No,DSL,No internet,Yes,Month-to-month,Credit card,43.06031767027244,7437.312277918696,0
21,Male,0,Yes,Yes,38.0,Yes,Fiber,No internet,No internet,Two year,Electronic check,,2966.8049207581475,0
22,Male,0,Yes,Yes,36.0,Yes,No,No,No,Two year,Bank transfer,24.610782946728165,1733.5847851029455,0
23,Female,0,No,Yes,3.0,No,DSL,No internet,No internet,Two year,Mailed check,62.28870371263457,2188.4743825019445,0
24,Female,0,No,Yes,7.0,Yes,No,Yes,Yes,Two year,Electronic check,101.42309641803384,4075.223100037387,0
25,Male,1,No,Yes,41.0,Yes,Fiber,No,No internet,Two year,Mailed check,101.02768284907648,3854.2274641293416,0
26,Female,0,Yes,Yes,71.0,Yes,Fiber,No,No internet,Two year,Bank transfer,89.4998497913837,854.7544823060624,1
27,Female,0,Yes,No,,Yes,No,Yes,Yes,One year,Electronic check,42.60613744394411,966.1136399548551,1
28,Female,0,Yes,No,63.0,Yes,Fiber,No internet,No internet,Two year,Bank transfer,63.89791551709864,1986.9862434306106,0
29,Male,0,No,Yes,68.0,Yes,No,Yes,No,Month-to-month,Electronic check,30.42199893130121,5878.4139325417,0
30,Male,0,Yes,No,25.0,Yes,DSL,Yes,No internet,Month-to-month,Electronic check,72.00483411285072,3660.480353794611,0
31,Female,0,No,No,54.0,Yes,Fiber,No internet,No,Two year,Credit card,106.61496285266385,1044.9159375306185,0
32,Female,0,No,Yes,66.0,Yes,DSL,No,Yes,One year,Bank transfer,87.56123405428792,5483.101410473327,0
33,Male,1,Yes,No,27.0,Yes,Fiber,Yes,No internet,One year,Mailed check,59.648798979020604,201.9906722167587,0
34,Female,0,Yes,No,66.0,Yes,No,No,No internet,One year,Mailed check,79.24899212039003,4805.5328355826705,0
35,Male,0,Yes,Yes,41.0,Yes,No,Yes,No internet,Two year,Electronic check,71.72282585598884,2834.3926766043087,0
36,Male,0,Yes,Yes,22.0,Yes,Fiber,No internet,No,Two year,Credit card,79.10631269187417,482.10805817430446,0
37,Female,0,No,Yes,70.0,Yes,Fiber,No internet,No,Two year,Bank transfer,25.280681415673794,1072.6746508898568,0
38,Female,0,No,Yes,14.0,Yes,Fiber,Yes,No internet,Month-to-month,Bank transfer,76.93972712238347,6012.580481836787,1
39,Female,0,No,No,45.0,Yes,DSL,No internet,Yes,Month-to-month,Credit card,71.20194881736785,2048.36969375834,1
